id,summary,clean_skills
monicaenriqz,"I'm majoring in international business with minors in Spanish and supply chain management, and I'm looking forward to using LinkedIn to network with people in these areas of expertise. I've learnt the value of endurance and hard work as a first-generation college student in order to achieve my objectives. I have acquired useful experience in supply chain management, marketing, and international business through jobs and education. Additionally, being bilingual in Spanish has given me the ability to communicate with a wider variety of people, creating additional opportunities for personal development and education. I'm passionate about sustainability and ethical business conduct, and I want to use my knowledge and training to improve the industry.
certifications: 
courses: ","['International Business, Spanish, Supply Chain Management', 'First-generation college student', 'Experience in supply chain management, marketing, international business', 'Bilingual in Spanish', 'Passionate about sustainability and ethical business conduct']"
timothy-o-connor-6b8b7913,"An accomplished, seasoned, 20 plus year Commercial Banker successful in the sale, portfolio management, development of Commercial Banking products and services. Work history demonstrates a proven track record of attracting and growing profitable Bank relationships that led to the sizable growth of risk adjusted revenue for the Bank from the sale of both balance sheet and off-balance sheet products and services.
certifications: 
courses: ","['20+ years of experience in Commercial Banking', 'Attracted and grew profitable Bank relationships', 'Grew risk-adjusted revenue through balance sheet and off-balance sheet products and services']"
eduardofriasuci,"As a supply chain and logistics professional with experience in managing and improving operations in a variety departments (Field Operations, Warehouse Operations, and Procurement) I have come to possess a comprehensive background in servant leadership, process improvement, risk management, staff training, performance development, and cross functional collaboration. Seeking new challenges in these areas while contributing to the growth, development, and culture of the team and organization are of priority.
certifications: Advanced Google Analytics, Google Analytics for Beginners, Social Media Certified, California Real Estate License, Google Analytics Individual Qualification, 
courses: Business Law, Business Statistics, Elementary Chinese 1, Elementary Chinese 2, Financial Accounting, Management Information Systems, Micro/Macro Economics, International Business, ","['Google Analytics', 'Advanced Google Analytics', 'Google Analytics for Beginners', 'Social Media Certified', 'California Real Estate License', 'Google Analytics Individual Qualification', 'Business Law', 'Business Statistics', 'Elementary Chinese 1', 'Elementary Chinese 2', 'Financial Accounting', 'Management Information Systems', 'Micro/Macro Economics', 'International Business']"
ganesh-prasad-srivastav-a141b219,"My professional experience and interest lies in : 1. Create and manage large ( 40+) data teams comprising of Engineers and Analysts 2. Create and execute strategy for big data systems containing variety of complex related data to enable business process measurement and support analytics and ML on the data. 3. Build data platform for large enterprises with the aim of Cloud first and Streaming first. 4. Split monolithic systems into microservices and enable implementation of data contracts 5. Enforce adherence to data privacy and governance requirements 6. Mentor leaders and engineers in data space
certifications: 
courses: ","['40+ data teams management', 'Big data systems strategy for business processes', 'Data platform building (Cloud/Streaming)', 'Microservices split of monolithic systems', 'Data privacy/governance enforcement', 'Mentoring leaders/engineers in data space']"
denisse-feliciano-02a734137,"I been working in the Insurance industry for over 10 years. I have worked in selling health and life insurance and also in costumer service. I really enjoy helping others in finding the insurance that fits their needs and gives them peace of mind. I worked for Optum United Healthcare for 5 years and been at my current position with AON Retiree Health Exchange for 6 plus years. I strive to give a great costumer service experience while at the same time closing the sale in the same call. I am looking to grow in to other positions in the Insurance industry that can add to my experience and skills.
certifications: HIPAA Associate (HIPAAA), Health and Life Insurance 215 License, 
courses: ","['10+ years Insurance industry experience', 'Optum United Healthcare for 5 years', 'AON Retiree Health Exchange for 6+ years', 'Health and Life Insurance 215 License', 'HIPAA Associate (HIPAAA) certification', 'Customer service and sales experience', 'Health and life insurance sales', 'Grow into other positions in Insurance industry']"
jordan-underwood-234936215,"I am a seasoned Senior Credit Analyst at Upstart, leveraging my expertise in personal lending while also demonstrating proficiency in small business lending and auto refinance. With a strong track record of delivering exceptional financial assessments, I excel at evaluating creditworthiness, analyzing risk factors, and implementing effective lending strategies. I am dedicated to fostering collaborative relationships and delivering superior results in the ever-evolving landscape of credit analysis.
certifications: The Nine Best Ways to Invest in Yourself, Critical Thinking, How to Build Credibility as a Leader, The Five-step Guide to Mastering Your Money, Communicating with Confidence, Interpersonal Communication, Google Data Analytics Specialization, SQL for Data Science, Financial Markets (with Honors), 
courses: ","['10+ years experience', 'Senior Credit Analyst, Upstart', 'Personal lending, small business lending, auto refinance', 'Financial assessments, creditworthiness evaluation, risk analysis, lending strategies', 'Collaborative relationships', 'The Nine Best Ways to Invest in Yourself', 'Critical Thinking', 'Data Analytics', 'Communicating with Confidence', 'Interpersonal Communication', 'Google Data Analytics Specialization', 'SQL for Data Science', 'Financial Markets', 'How to Build Credibility as a Leader', 'The Five-step Guide to Mastering Your Money']"
erik-carrington-6a87744,"Responsible for the profitability and strategic growth of the Texas Region for the Wealth Management line of business at Hancock Whitney Bank which incorporates Private Banking, Trust, Brokerage, Insurance and Financial Planning.
certifications: Insurance Agent, Accident, Health, Life, Variable Life & Variable Annuities, Series 52, Series 63, Series 65, Series 7, 
courses: ","['Texas Region Wealth Management at Hancock Whitney Bank', 'Insurance Agent, Accident, Health, Life, Variable Life & Variable Annuities, Series 52, Series 63, Series 65, Series 7']"
caleb-moreau,"Technical and digital consultant with over 7 years of professional experience. Diversified skills include client relations, project management, strategy, application solutions, and web development and design.
certifications: Apple Certified iOS Technician (ACiT), Paramount Workplace, 
courses: ","['7+ years of experience', 'Apple Certified iOS Technician (ACiT)', 'Paramount Workplace certification', 'Client relations', 'Project management', 'Strategy', 'Application solutions', 'Web development', 'Web design']"
denise-jones-5338663,"A dynamic and innovative database and Web communications professional seeking a career in business intelligence and database programming. A collaborative individual, with extensive project management experience, who has a track record of leading and motivating people; recognized for delivering quality results in response to corporate initiatives. Specialties: Visual Studio; SQL Management Studio, SQL Reporting Services, SQL Analysis Services, and SQL Integration Services; Macromedia Fireworks, Dreamweaver, and Flash; Microsoft CMS, FrontPage, Access, Excel, Word, SharePoint, and PowerPoint; Corel Draw and PhotoPaint; Adobe PageMaker and Acrobat; Teleforms; XML Spy; QuarkXpress; Avilar Learning Management System. T-SQL, MySQL, HTML.
certifications: SQL Server Business Intelligence Certification, 
courses: ","['Visual Studio', 'SQL Management Studio', 'SQL Reporting Services', 'SQL Analysis Services', 'SQL Integration Services', 'Macromedia Fireworks', 'Dreamweaver', 'Flash', 'Microsoft CMS', 'FrontPage', 'Access', 'Excel', 'Word', 'SharePoint', 'PowerPoint', 'Corel Draw', 'PhotoPaint', 'Adobe PageMaker', 'Acrobat', 'Teleforms', 'XML Spy', 'QuarkXpress', 'Avilar Learning Management System', 'T-SQL', 'MySQL', 'HTML']"
jasmine-m-nelson,"I have 10 years of experience in data analysis, 7 years experience in project management, and 3 years in product management. I am committed to making a difference and thrive on challenging the status quo to create better outcomes. Expertise in health and welfare benefit strategy, trend analysis, solution ownership, and PDLC. Highly skilled communicator and presenter. Working knowledge of SQL.
certifications: Leading@Alight, 
courses: ","['10 years of experience in data analysis', '7 years experience in project management', '3 years in product management ', 'Health and welfare benefit strategy', 'trend analysis', 'solution ownership', 'PDLC', 'SQL ', 'Leading@Alight']"
