job_id,company_id,title,description,max_salary,med_salary,min_salary,pay_period,formatted_work_type,location,applies,original_listed_time,remote_allowed,views,job_posting_url,application_url,application_type,expiry,closed_time,formatted_experience_level,skills_desc,listed_time,posting_domain,sponsored,work_type,currency,compensation_type,scraped
3873190155,4458.0,Vice President – Services North America,"Job Description

Expect more. Connect more. Be more at Diebold Nixdorf. Our teams automate, digitize, and transform the way more than 75 million people around the globe bank and shop in this hyper-connected, consumer-centric world. Join us in connecting people to commerce in this vital, rewarding role.

Position Overview

As the Vice President Services North America, you will provide leadership and oversight to the Services teams in Canada and the United States. You will build and maintain positive working relationships with your internal and external stakeholders including Banking and Retail Sales, Finance, IT and Human Resources. Your team is the backbone of our Service Delivery offering and with your support we want to lead the industry in Service Performance. Your focus on delivery will ensure we run a profitable, healthy business that is effectively supporting our customers, partners and our broader organization. Success in the position requires a strong commercial mindset with the experience of leading growth within a large and matrixed corporation, cross-cultural experience, and the capability to further develop global leadership- and service teams.

Responsibilities

Responsible for the North America services resources, including utilization and performance of our Field Services organization, Customer Delivery Management team and Total Implementation Services associates.Services North America P&L Ownership, accountable for Services gross margin with control over key delivery levers and implementation business.Build a strategic plan in alignment with the North America Sales organization as part of our overall action planning to identify and drive strategic initiatives to enhance the scalability, efficiency and effectiveness of our Services organization. Collaborate with internal stakeholders to develop and implement innovative solutions that meet evolving customer needs and industry trends. Establish key performance metrics and regularly assess the performance of the North America Services group. Provide accurate and timely reporting on service level agreements, customer engagement, and operational efficiency to senior leadership.Monitor customer success and NPS closely in partnership with Sales and drive activities to further improve.Translate business strategy into a compelling and inspiring “call to action” for employees and leaders. Focus on securing and developing the right talent at all levels, to meet current commitments with a strong drive for future growth; maintain a bench of highly capable, diverse, and engaged talent with the capability to deliver on growth aspirations.


Qualifications

A strong knowledge and demonstrated experience of senior leadership roles in Service Management and Field Services. Beneficial is experience of Customer Delivery.Minimum 15 years’ experience in Service management roles, including working in a business with a mature Service capability.A background in technical product, ideally in electro-mechanical product (but not critical)Experience of leading transformational change in Field Services in a matrix environment.Ability to deliver on agreed savings and value targets. Familiar with competitive environments, where year-over-year cost down and continuous improvement is a norm.Proven ability to grow and develop high performance teams, of scale in excess of 1,000 staffExperience in and comfortable with an environment where service level is important, measured in hours rather than days, and where in some instances customer penalties are seen if not met.Outstanding relationship management skills required to build strong trusting relationships with cross functional and cross geographical stakeholders in an ambiguous and complex matrix. Use these relationships to support and challenge these stakeholders.Bachelor’s degree level or equivalent by experience. Demonstrable track record in influencing in a matrix environment.Strong analytical and conceptual skills.Leadership skills with a proven track record to convince others through written and spoken communications. Able to deal with resistance.Knowledge of the LEAN philosophy and methods.


Preferred Qualifications

10+ years industry experience Direct experience of solutions similar to the DN portfolio (SW, Products, Service)

",,,,,Full-time,"North Canton, OH",,1711670400000.0,,4.0,https://www.linkedin.com/jobs/view/3873190155/?trk=jobs_biz_prem_srch,https://eeug.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/job/11971/?utm_medium=jobshare,OffsiteApply,1714337908000.0,,Executive,,1711745908000.0,eeug.fa.us6.oraclecloud.com,0,FULL_TIME,,,1711746278
3873191501,3479676.0,Office/Bookkeeping Assistant,"Part-Time Office/Bookkeeping Assistant We are partnering with a small confidential private firm in Downtown Seattle in their search for a positive and professional Office/Bookkeeping Assistant. This is a part-time position working 20 hours a week on average. (They can be flexible on hours.) You will be serving as the backup to the Assistant of the President when it comes to bookkeeping and office support. Ideal candidates will have prior bookkeeping experience within a professional office environment, experience working with Sage50/Peach Tree, and experience downloading bank statements, bank reconciliations, and producing financials.
Responsibilities:Handle bookkeeping responsibilities including downloading bank statements, bank reconciliations, and producing financials.Back up the Accounting Manager including monitoring, maintaining and producing: bank balances, accounts payable & receivable, payroll & payroll tax report and B&O tax reports.Serve as the backup Office Manager including answering phones, retrieving mail and running errands as needed.Provide backup support assisting the President if needed including scheduling appointments and meetings, typing documents, and gathering materials needed for meetings.Maintain electronic filing system, which includes filing for multiple entities (partnerships, corporations, etc.)Converting outdated hard copy filing system, scanning, e-filing, destroying or boxing for off-site storage.Prepare outgoing mail and deliveries.Maintain office equipment, keep paper drawers full, toner refilled, and machines clean.Update Office and Accounting Procedures.Miscellaneous projects as they arise. Requirements:2+ years of bookkeeping and office experience within a professional environmentProficient in QuickBooks.Experience working with Sage50/Peach Tree strongly preferred.Experience downloading bank statements, handling bank reconciliations, and producing financials.Proficient in all Microsoft Office 365 applications.Prior experience providing office support and working with office equipment.Proven experience maintaining strict confidentiality of business and personal information.Must display a positive and professional attitude.Proven attention to detail, strong organizational and time management skills.Able to work out of an office in Seattle part time.",,,,,Part-time,Greater Seattle Area,,1711745859000.0,,5.0,https://www.linkedin.com/jobs/view/3873191501/?trk=jobs_biz_prem_srch,,SimpleOnsiteApply,1714337859000.0,,Associate,,1711745859000.0,,0,PART_TIME,,,1711746278
3873191616,25039372.0,Community Association Manager,"Our top firm is seeking a Community Association Manager with a proven track record of success. The ideal candidate will be a consummate professional, exhibit strong organizational skills, and thrive in a fast-paced environment. The Community Association Manager will also display excellent business acumen, have an acute concern for customer satisfaction, and possess a strong sense of fairness and integrity as they manage and oversee a significant new real estate asset.In return, you’ll be supported by our caring and concise administrative team. You’ll also receive continuing education and a competitive salary. If this sounds like you, start your application today!The Community Association Manager will be responsible for:Overseeing a portfolio of condominium associations in Chicagoland.Preparing yearly budgets for associations.Serving as a partner for Board Members working to improve the lives of Association members.Composing and updating a preventative maintenance plan for each property.Responding to owner inquiries and issues (promptly and courteously).Managing association staff, vendors, and contractors.Meeting with contractors to solicit bids or perform work at a property.Planning and running Association and Board meetings. Boards generally have meetings in the evenings. Managers help plan the agenda, attend the meeting to answer questions and take notes, and run the meeting.We value the following attributes and skills:Exceptional writing and communication skills: Our customers require thoughtful, concise, timely responses to their concerns. Much of this communication occurs over email.Tech Savvy: You should be comfortable using our property management software, working with files of all different types, and producing documents using Microsoft Office products, especially Excel.Stellar interpersonal skills: You will have to manage a wide range of personalities with a wide range of opinions, both over the phone and in person. You should be a friendly, and outgoing person who can represent the company well in all situations.Highly organized: You will be working with hundreds of owners divided among a portfolio of properties spread all over Chicago.The ability to work independently: This is a growing business, and you must be comfortable working alone or independently at times.Reliable transportation: We will need you to visit properties regularly.We also value credentials!Community Association Manager license is REQUIRED prior to start dateAt least Bachelors degree REQUIRED, High School Diploma REQUIREDHere is what we are offering in compensation, benefits, and professional development:Salary of $55,000 - 65,000 depending on experiencePTO plus HolidaysMedical Benefits401KProfessional developmentJob Type: Full-time
Salary: $55,000.00 - $65,000.00 per year
Benefits:401(k)401(k) matchingDental insuranceFlexible scheduleHealth insuranceHealth savings accountLife insurancePaid time offVision insuranceExperience level:2 yearsSchedule:Monday to FridayEducation:Bachelor's (Required)Experience:Property Management: 1 year (Required)HOA/Community Association Management: 1 year (Required)License/Certification:Driver's License (Required)Community Association Manager License (Required)Ability to Relocate:Chicago, IL 60642: Relocate before starting work (Required)Work Location: In person",65000.0,,55000.0,YEARLY,Full-time,"Chicago, IL",,1711746142000.0,,3.0,https://www.linkedin.com/jobs/view/3873191616/?trk=jobs_biz_prem_srch,https://www.indeed.com/job/community-association-manager-800029be04db36c6,OffsiteApply,1727298104000.0,,,,1711746142000.0,,0,FULL_TIME,USD,BASE_SALARY,1711746278
3873191646,3479676.0,Front Office Coordinator,"Fuel Talent is partnering with a confidential firm in their search for a Front Office Coordinator to join their successful team.
The Front Office Coordinator will be the face of the office for employees and visitors and play an integral role by providing exceptional customer service to staff and clientele via phone and in person, ensuring the office runs smoothly, and jumping in on projects whenever needed.
Ideal candidates will have 1-2 years of experience in an office or professional setting as an assistant, have impeccable customer service, and be a motivated, upbeat, and organized teammate. This is an opportunity to grow within a successful and stable tight-knit team.
Please note: this role is onsite in Bellevue, WA. 
Responsibilities:
Answer phones, greet clients and guests, and provide coverage to EAsMaintain cleanliness of reception area, mail room, and all conference roomsOversee office supply inventory levels and oversee mail and document organizationCreate and organize presentation materials as neededEnsure a clean kitchen area and snacks, meals, and supplies are ordered and stockedOrganize and order meals for breakfast & lunch meetings and other team eventsCollaborate with building management to solve facilities and maintenance issuesUpdate tools and databases as neededSpecial projects and additional duties in areas including but not limited to event planning, marketing/social media, family office/concierge services, and philanthropic efforts as requested
Requirements:
Bachelor's Degree1-2 years of experience in an office or professional setting as an assistant. Experience in a finance setting is a plusA strong work ethic, a client service orientation, attention to detail, and a self-starter attitude are requiredImpeccable judgment, confidentiality, communication, and interpersonal skillsStrong organizational and multitasking abilities with a keen attention to detailProficient in Microsoft Office Suite, Google Suite, Adobe, and Salesforce",,,,,Full-time,"Bellevue, WA",,1711746025000.0,,6.0,https://www.linkedin.com/jobs/view/3873191646/?trk=jobs_biz_prem_srch,,SimpleOnsiteApply,1714338025000.0,,Entry level,,1711746025000.0,,0,FULL_TIME,,,1711746278
3873195060,11387506.0,Branch Leader (Retail),"Organization Overview:State Bank of Davis has proudly served our community since 1928 and has a passion for our role as a community bank offering full service banking and lending services for individuals, families and businesses. State Bank of Davis is a subsidiary bank of Foresight Financial Group, Inc.  Position Summary:The Retail Leader is responsible for leadership of the consumer services area, providing sales and service of all retail bank products. Provides outstanding service and sales as well as provides input and support to the marketing efforts of such products. Coaches retail staff to meet business development goals. Develops new and maintains long-lasting customer relationships, resolves customer issues by providing thoughtful solutions. Generates leads and uncovers new streams of revenue within relationships customer and prospect relationships. Member of Asset/Liability and Marketing Committees.  PRIMARY RESPONSIBILITIES/DUTIES:  Leadership and management of the Retail department, including the teller CSRs and Personal Bankers, (to include consumer loans at a future date), providing strategic direction and day to day support.Hold one-on-one coaching sessions with retail staff.Identify the training needs of retail staff for appropriate referrals to other areas of the bank.Complete annual reviews according to the annual schedule and in a timely mannerMeet or exceed annual objectives as established in the strategic plan Elevate and Maintain High Level of Customer Service per the SBD Customer Service StandardsEnsure customers receive a warm welcome each time they come to the bank.Hold semi-monthly all Team Member Staff/Sales meetings.Work with the Commercial area to develop synergies in the services provided to overlapping relationships. Responsible for the marketing and promotion of all new and existing consumer products including development and revisions to assist bank with meeting the fee income goals.Participate in the monthly Marketing Committee meetingsRoutinely conduct market research of competitor’s products and services.Review current products to ensure customer satisfaction.Future expectations include adding consumer lending products and goals to the retail Team Members.Serve on ALCO as representative for the deposit products.Provide market analysis of current rate promotions within established market area.Provide deposit balances and maturity projections for the bank.Recommend changes to fees or products to ALCO for approval.Recommend changes to rates, product and service fees as needed to ensure financial goals are being met.Additional ResponsibilitiesAssist in the Bank’s annual strategic plan preparation and budget process, forecasting line items for the Retail area.Meet or exceed all individual sales goals, while assisting the Bank to meet profitability and strategic plan goals. Participate in community affairs, professional organizations and projects to increase the Bank’s visibility in the community and directly benefit the Bank.Undertake special projects and/or assignments relating to the Retail Department and the Bank.Other duties as assignedComply with the Bank’s Secrecy Act (BSA) rules and regulations.  Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities and activities may change at any time with or without notice.  Competencies: Leadership: Provides strong leadership, sets a good example, skilled decision maker, motivator, encourager. Customer Service: Manages difficult or emotional customer situations; Responds promptly to customer needs; Solicits customer feedback to improve service; Responds to requests for service and assistance; Meets commitments.
Business Acumen/Financial Management: Understands business implications of decisions; Displays orientation to profitability; Demonstrates knowledge of market and competition; Aligns work with strategic goals. Communicator: Effective written and oral communication skills, speaking clearly, effectively listening, and clearly writing. Technical: Proficient with Microsoft Office (Outlook, Word, Excel). Knowledge of banking products, services, policies, procedures, and regulations. Advanced proficiency in PC usage and applicable banking platforms.  Physical Demands and Work Environment:This position operates in a clerical office setting. This role routinely uses standard office equipment such as computers, phones, copy machines, filing cabinets and fax machines. Occasional lifting of 25-50 pounds may occur. The physical demand described here is representative of those that must be met by staff to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. This position requires manual dexterity. While performing the duties of this position, the employee is regularly required to sit or stand for extended periods of time.  Performance Standards:Accurate processing and documentation of new accounts, customer transactions, and maintenanceMeet or exceed retail annual goals.Ensure all compliance and regulatory requirements are met.Uphold Customer Service Standards
 Performance Weightings:30% Competencies70% Position Performance Standards and Personal Goals Qualifications:High School diploma or equivalent required; business or finance degree preferred5+ years technical experience in banking, including a thorough knowledge of account opening procedures and regulations a plus
",,,,,Full-time,"Davis, IL",,1711745920000.0,,4.0,https://www.linkedin.com/jobs/view/3873195060/?trk=jobs_biz_prem_srch,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=51ef9268-82f5-4530-9031-0c5db8af8bd2&ccId=19000101_000001&type=MP&lang=en_US&jobId=484758,OffsiteApply,1714337920000.0,,,,1711745920000.0,,0,FULL_TIME,,,1711746278
3873195337,3479676.0,Personal Executive Assistant,"We are partnering with a Seattle based CEO/Founder in their search for an experienced, detail-oriented, unflappable Personal Executive Assistant. The Personal Executive Assistant will oversee the wellness of this entrepreneurial principal for both business and personal needs.
Responsibilities of this position include, but are not limited to, managing highly dynamic personal and business calendars, scheduling meetings, social obligations, managing correspondence and ever-changing travel itineraries. The Personal Executive Assistant will also ensure all elements of the principal’s residence run smoothly, including setting up /maintaining vendors and onsite services.
The successful candidate will have prior experience providing a high level of both business and personal support. Ideal candidates will bring positive energy, integrity, accuracy, discretion, and efficiency to their role and thrive in a fast-paced environment. They will also demonstrate poise under pressure, have an eye for detail, be energy rich and serve as the calm in the storm.
The Personal Executive Assistant will report directly to the principal and will be expected to handle special requests, projects and assignments as needed.
Responsibilities:Accurately manage multiple dynamic calendars, including business and personal appointments, meetings, and events.Handle all travel arrangements and logistics coordination, ensuring a well-considered and seamless travel experience.Create and maintain itineraries for meetings including preparation of meeting materials, agendas, and organization.Handle inbox management and correspondence.Compile and maintain travel profiles and preferences, accounts, and information.Ensure residence is well stocked, organized, secure, and well maintained at all times.Handle set up and maintenance for personal services including chef, laundry, cleaning, grocery, property etc.Serve as project manager for interior design, installation, and renovation projects.Plan and execute thoughtful personal and social events.Enhance and maintain systems and processes to help maximize time, identifying where there are gaps and/or when iterations may be needed to optimize for efficiency.
Requirements:College degree preferred with a minimum of 5 years assisting a C-Suite Executive, ideally in an entrepreneurial or start-up fast-paced environment.Highly discrete and loyal. Proven ability and experience in handling confidential matters when discretion is required.Extensive calendar management and complex travel arrangement experience.Tech Savvy.Meticulous attention to detail, with strong memory recall.Excellent time management and organizational skills.Creative problem-solving skills in the face of ambiguity.Strong judgment and integrity.Professional, gracious, flexible, unflappable, and self-motivated.Displays a positive humble yet driven attitude.Excellent and concise verbal, written, and interpersonal communications skills.Ability to respond to electronic communications outside of working hours as needed.Ability to pass a comprehensive background check.",,,,,Full-time,Greater Seattle Area,1.0,1711745824000.0,,26.0,https://www.linkedin.com/jobs/view/3873195337/?trk=jobs_biz_prem_srch,,SimpleOnsiteApply,1714337824000.0,,Associate,,1711745824000.0,,0,FULL_TIME,,,1711746278
3873195473,2474662.0,Talent Acquisition Senior Coordinator,"(This is a 6-month contract with potential to extend/convert)Job DescriptionThe Talent Acquisition Sr. Coordinator will collaborate with recruiters and hiring managers to support our hiring efforts.The coordinator will also serve as an advocate for our company by providing high-quality and welcoming interview experiences to each candidate.Track various programs and respond to a variety of inquiries and record-keeping requests.Supports Sr. Director with various projects and administrative tasks.The ideal candidate for this position will be able to handle sensitive and confidential information, a multitude of simultaneous projects, and prioritize.ResponsibilitiesOwn interview scheduling process and communicate logistics to both candidates and hiring teams.Manage interview candidate experience for both onsite and offsite interviews.Manage candidate travel reimbursement process.Manage employee referral program including tracking and payouts.Own the background check, offer letters and collaborate with onboarding team for a smooth candidate/hire hands off.Collaborate with recruiters and People Ops to improve recruiting processes and efficiency.Support various Talent Acquisition projects including but not limited to process improvements, employment branding efforts, reporting, and ATS improvements.Server as main point of contact for new and ongoing immigrations requests.SkillsAbility to professionally handle confidential and sensitive information.Experience with research/sourcing tools such as LinkedIn, other social media, or technical forums preferred.Ability to contribute in a fast-paced, dynamic work environment with the ability to prioritize multiple functions and tasks.Great verbal and written communication skills, interpersonal skills, and team player.Highly organized and detail oriented with a focus on quality is a must.Proficiency with Microsoft Office Products (Word, Excel, Outlook, PowerBI).Working knowledge of state and federal employment laws including immigration.University Relations experience highly desirable (establishing connection and program support)Role model for SAAGE values (Speed, Authenticity, Audacity, Grit, Empathy)EducationBachelors degree highly preferred in human resources, business administration or related field with 4+ years Talent Acquisition coordination experience or AS/AA degree with 6+ years of Talent Acquisition coordination experience.Pay Rate Range: $25-33/hr. Salary will be commensurate with experienceHybrid with 3 days onsite (must be comfortable commuting to location 3 days/week)",33.0,,25.0,HOURLY,Full-time,"Nashville, TN",,1711746109000.0,,3.0,https://www.linkedin.com/jobs/view/3873195473/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1714338108000.0,,Mid-Senior level,,1711746109000.0,,0,FULL_TIME,USD,BASE_SALARY,1711746278
3873195540,,Staff/Tax Accountant,"We are seeking a highly skilled, experienced and detail-oriented Staff/Tax Accountant to join our team. The ideal candidate will have a strong background in accounting principles and practices, as well as excellent analytical and problem-solving skills.
Responsibilities:- Prepare and analyze financial statements, ensuring accuracy and compliance- Conduct bank reconciliations and resolve any discrepancies- Assist in the preparation of monthly, quarterly, and annual financial reports- Interpret financial reports to identify trends, variances, and opportunities for improvement- Collaborate with internal teams to ensure accurate recording of financial transactions- Perform account reconciliations to ensure accuracy and completeness of financial data-Preparation of income tax returns (1040, 1041, 1120, 1120S, 1065)
Skills:- Strong knowledge of accounting principles and practices- Proficiency in financial statement preparation and analysis- Experience with account reconciliation and financial report interpretation- Familiarity with SOX compliance requirements- Previous experience in public accounting or related field is preferred- Excellent attention to detail and accuracy in data analysis- Strong problem-solving skills and ability to work independently- Proficient in using Adobe, accounting software (Thomson Reuters, Quickbooks, etc) and MS Office Suite (Outlook, Excel, Word)- Knowledge of technical accounting standards is a plus- Familiarity with payroll processes and financial services is an advantage-Clear and concise client communication
We offer competitive compensation packages, including benefits such as a SIMPLE IRA plan with match, paid time off (PTO), and opportunities for career growth. If you are a dedicated professional with a passion for accounting and a desire to contribute to our organization's success, we encourage you to apply for the position of Staff Accountant.",,,,,Full-time,"Freeport, IL",,1711746215000.0,,1.0,https://www.linkedin.com/jobs/view/3873195540/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1714338215000.0,,,,1711746215000.0,,0,FULL_TIME,,,1711746278
3874922804,8117.0,Accounts Payable Specialist,"Our client is currently seeking an Accounts Payable Specialist to onboard and work extensively with vendors 
This is a contract to hire, that must be hybrid onsite near Deerfield, IL
This job will have the following responsibilities:Ensure timely completion of transactional procurement to payment activities from requisition to disbursement in support of established SLAs and AP month end closeReview and process new vendor set up and vendor maintenance requests, validate the required documents, and utilize an Accounts Payable ERP system to create/update the vendor recordsReview tax form W-9 and W-8 forms, validate tax implications against IRS tax regulations, perform IRS TIN Matching, IRS Exempt Organization Verification, GIIN validation, and OFAC screening prior to vendor setup or vendor profile updateActively review and perform maintenance of vendor records for proper 1042 reporting
Qualifications & Requirements:At least three 2 years high volume accounts payable experience in a corporate environmentExperience with W-9, W-8, 1099, 1042 formsStrong communication and presentation skills",,,,,Contract,Greater Chicago Area,,1711745765000.0,,5.0,https://www.linkedin.com/jobs/view/3874922804/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1714337765000.0,,Mid-Senior level,,1711745765000.0,,0,CONTRACT,,,1711746278
3874926137,71956779.0,Bartender - City Cruises DC,"Starting pay - $17.25 plus tips 

City Experiences is seeking a Bartender for our City Cruises operation in Washington, DC 

About Us

City Experiences’ passion is to provide amazing experiences on land and water. Our 40-year success through organic growth and acquisitions has resulted in a portfolio of over 25+ brands that welcome upwards of 30 million guests/riders annually. If you’re an enthusiastic team player who thrives in an environment where communication, creativity, and cooperation are encouraged, this may just be the opportunity for you.

About You

This person will be adaptable, dynamic, and embody City Experiences’ RESPECT Service System.

About The Opportunity

The successful Bartender mixes high-quality beverages, provides prompt and consistent service at guest and service bars, is hospitable and cordial to guests and coworkers, acts safely and responsibly, and is knowledgeable about the vessel and the skyline.

Essential Duties & Responsibilities

Provide exceptional hospitality to guests and coworkers as prescribed in our RESPECT service systemAccurately follow recipes for all beverages; must have thorough knowledge of all beverage offerings and pricesProvide prompt and consistent bar service to guests and servers throughout the cruiseSet up and break down bar - stock and restock bar according to prescribed par specifications; clean bar thoroughly in accordance with standard operating proceduresMaintain the cleanliness and safety of the bar and all common areas and service stations; clean glasses, utensils, bar equipment, bar tops, refrigerators, and all other equipment and work areasAccurately charge guests for onboard purchases; enter order into the point of sale system, collect payment and return all changeProvide information to guests including beverage and food menu descriptions, entertainment options, cruise route and points of interestBe prepared to begin work at scheduled timeMaintain uniform and personal grooming in compliance with appearance standardsOther duties as assigned by the manager or supervisor on duty


Requirements & Qualifications

High School Diploma (or GED or High School Equivalence Certificate) requiredAt least one (1) year of previous bartending experience requiredEnergetic and enthusiastic personality essentialMust be able to effectively understand and convey written and verbal information to guests and coworkersMust have comprehensive knowledge of beverage recipesBasic computer skills are requiredMust possess a service orientation – actively looking for ways to help othersWill work for extended periods of time without sittingRequired to lift heavy items such as liquor boxes and ice bins up and down stairsResponsible for bar till; proper cash handling is requiredWill be required to be available for work on all major holidaysMust meet state age requirements


The RESPECT Service System embodies City Experiences’ mission, vision, values and operating principles. By creating a company culture that puts RESPECT at its core, we believe it will drive us to achieve our goal of becoming a Global Experiences and Transportation Leader.

The Company is proud to be an Equal Employment Opportunity and Affirmative Action employer. We prohibit discrimination and harassment against any applicants or employees based upon their race, color, religion, national origin, sex, age, sexual orientation, gender identity or expression, mental or physical disability, status as a protected veteran, or other characteristics prohibited by applicable law.

Additionally, we encourage all qualified applicants including those with past arrest or conviction records to apply. The Company participates in the E-Verify program in certain locations.

We encourage qualified applicants with arrest and conviction records to apply.",,17.25,,HOURLY,Part-time,"Washington, DC",,1711670400000.0,,3.0,https://www.linkedin.com/jobs/view/3874926137/?trk=jobs_biz_prem_srch,https://recruiting.ultipro.com/HOR1007HORNB/JobBoard/e5fde230-43f0-48dd-93e7-e0887cfd6dd5/OpportunityDetail?opportunityId=8fe7998e-8bba-45b0-9fac-d1c8cfc784a4&utm_source=LINKEDIN&utm_medium=referrer,OffsiteApply,1714338124000.0,,Entry level,,1711746124000.0,recruiting.ultipro.com,0,PART_TIME,USD,BASE_SALARY,1711746278
