job_id,meta_industry,clean_requirements
3693045905,Healthcare and Medical,"[""CPR certification"",""Background Checks"",""RBT training"",""Driver's License"",""Microsoft Office"",""CRM"",""Healthcare Management Software"",""HIPAA""]"
3701320297,Manufacturing,"[""3+ years' experience as General Automotive/R&R Technician"",""Valid driver's license"",""Professional grade tools"",""Safe working knowledge of shop tools and equipment""]"
3693064842,Media and Entertainment,"[""Previous theater experience"",""Flexible hours"",""Willingness to work weekends and holidays"",""Customer service experience"",""Team player mentality"",""Positive attitude"",""Customer service orientation"",""Interest in film and entertainment""]"
3757497567,Technology,"[""Bachelor's degree"",""Diplomacy"",""Good judgment"",""Professionalism"",""Analytical skills"",""Handling confidential information"",""Communication skills (oral/written)"",""Disability Management"",""FMLA"",""Workers Compensation"",""Payroll"",""Interpersonal communication skills"",""Positive attitude"",""Organization"",""Multi-tasking"",""Priority identification"",""Project management"",""Data entry skills"",""Attention to detail"",""Microsoft Word"",""Microsoft Excel""]"
3694159400,Technology,"[""Salesforce Marketing Cloud"",""Collaborate with cross-functional teams"",""Design"",""Develop"",""Implement"",""Optimize customer engagement""]"
3693068617,Real Estate and Construction,"[""Bachelor's degree"",
 ""Project Management experience"",
 ""VDC"",
 ""BIM"",
 ""Quantity Surveying"",
 ""PMP or equivalent certification"",
 ""Project Management Software"",
 ""Leadership skills"",
 ""Team management skills"",
 ""Communication skills"",
 ""Interpersonal skills"",
 ""Problem-solving"",
 ""Decision-making"",
 ""Attention to detail"",
 ""Commitment to quality"",
 ""Hard Working"",
 ""Organized"",
 ""Dependable"",
 ""Commitment""]
"
3755130470,Services,"[""Bachelor's degree: Early Childhood Education, Infant/Toddler Development or related "",""Experience: working under 5 "",""Knowledge: child development, early intervention practice, theory, family-centered service provision"",""Teamwork"",""Collaboration with other professionals"",""Communication"",""Organizational skills"",""Interpersonal skills"",""Bilingual (English/Spanish)""]"
3757497249,Retail and Consumer Goods,"[""Food/bakery production management"",""Strong time management & decision-making"",""Leadership & direction"",""Clear understanding of directions"",""Driven & self-starter""]"
3749357361,Services,"[""Identifying new opportunities"",""Increasing brand visibility"",""Increasing membership sales"",""Building professional relationships with trade professionals"",""Identifying and facilitating events"",""Qualifying leads"",""Tracking and reporting on market strategies"",""Partnering with account managers and marketing teams"",""Scouting B2B affiliates"",""Scouting micro-influencers""]"
3749358377,Services,"[""Copy"",""Print"",""Mail"",""Scanning"",""Hospitality"",""Reception""]"
3749358378,Services,"[""Digital content management"",""Content Management System (CMS)"",""Digital Asset Management System (DAM)""]"
