meta_industry,requirement,count
Services,Heavy Equipment Repair and Maintenance,1
Retail and Consumer Goods,Communication with DSD Receiver,1
Services,Qualifications:**,1
Real Estate and Construction,Jury Duty,1
Services,Technology skills,1
Transportation and Logistics,Working in team environments,1
Retail and Consumer Goods,Move for entire shift,1
Retail and Consumer Goods,Travel with overnight extended stays,1
Technology,HANA Triggering,1
Media and Entertainment,Type,1
Retail and Consumer Goods,Interest in ecommerce,1
Services,"Common business operating systems: Windows, Windows Server, Office",1
Financial and Investment,Deposit reporting,1
Services,JDBC,1
Technology,Implement NIST 800-53 Security Controls / RMF compliance,1
Technology,Reverse engineering,1
Healthcare and Medical,CPR certification,2
Healthcare and Medical,Good organization and time management skills,1
Services,IP and patent law,1
Education and Training,Collaboration skills,1
Retail and Consumer Goods,"walk, bend, kneel, stand for extended periods",1
Retail and Consumer Goods,Meat/seafood knowledge,1
Technology,Technology Assessment,1
Technology,Documentation,2
Services,"Selling, weekly $ spend grids, spreadsheets",1
Technology,Client Onboarding,1
Services,Agile methodology,1
Financial and Investment,SIEM platform,1
Services,Legal Terminology Communication,1
Retail and Consumer Goods,Lift 50 lbs. occasionally,1
Transportation and Logistics,Consultant staff supervision,1
Services,Invasive Cardiovascular Specialist/Electrophysiology Specialist training,1
Retail and Consumer Goods,Adhere to attendance policy,2
Retail and Consumer Goods,Cross functional team,1
Services,Strong writing skills,1
Technology,People management,1
Retail and Consumer Goods,Ability to lift 4 lbs frequently,1
Services,REST,1
Services,Unit tests,1
Education and Training,Bachelor's Degree in related field,1
Services,Teamwork,6
Technology,Experience selling both to business and technical audiences simultaneously,1
Services,- Procore,1
Miscellaneous,"5+ years talent strategy, HR, or organizational development experience",1
Transportation and Logistics,Work station knowledge,1
Retail and Consumer Goods,Information comprehension and direction-following,1
Retail and Consumer Goods,JAMF experience,1
Manufacturing,Master's Degree,1
Manufacturing,"Ability to calculate, organize and execute large exchange-traded futures and options reorders",1
Healthcare and Medical,Communicate via typing,1
Technology,Ability to identify technical risks,1
Technology,Analytical Skills,2
Real Estate and Construction,Bachelor's or Master's degree in computer science or a related field,1
Healthcare and Medical,Critical thinking skills,1
Services,Innovation,1
Technology,Verbal communication,3
Education and Training,Conceptualize graphic design requirements,1
Services,Computer Science degree,1
Services,Complete onboarding assessments,1
Technology,Bachelor's degree in Computer Science,1
Transportation and Logistics,Customer Champion,1
Retail and Consumer Goods,Adherence to guidelines,2
Services,"Survey research, statistics, data visualization",1
Manufacturing,GAAP and SOX requirements,1
Miscellaneous,Experience developing relationships with city and state leaders,1
Services,"6+ years network design, implementation, management",1
Transportation and Logistics,Partner with legal department to ensure compliance,1
Retail and Consumer Goods,Twist,1
Services,"Statistical modeling (e.g., regression)",1
Services,Leads new and ongoing QC inspector training,1
Technology,Mac OS logs,1
Services,self-motivation,2
Retail and Consumer Goods,Up to 50 lbs.,1
Healthcare and Medical,Interviewing,1
Retail and Consumer Goods,Collaboration,2
Retail and Consumer Goods,Communication (with management and vendors),1
Real Estate and Construction,Comprehensive benefits package ,3
Services,WebSphere,1
Miscellaneous,Master’s Level Board Certified Behavioral Analyst,2
Services,Distinctive design,1
Services,SystemVerilog,1
Technology,Intelligence Community experience,1
Real Estate and Construction,Bachelor's degree,3
Services,Collaborate with stakeholders on ingestion and analysis,1
Retail and Consumer Goods,Mathematical skills,1
Education and Training,Lab or field testing,1
Real Estate and Construction,Drawing analysis,1
Healthcare and Medical,EMR skills,1
Services,Budgeting and forecasting,1
Media and Entertainment,In-person travel,1
Services,"Ph.D. degree (Biology, Genetics, or related life sciences field)",1
Technology,"Color correction, grading, motion tracking",1
Healthcare and Medical,Clean the kitchen,1
Retail and Consumer Goods,"Use company tools to set, prioritize and communicate goals",1
Healthcare and Medical,Microsoft Office,5
Services,Bachelor's degree in Accounting or related field,1
Services,Jira,4
Services,Related Scientific Discipline,1
Services,System lifecycle management,1
Transportation and Logistics,Character & Values,1
Retail and Consumer Goods,Provide guest service,1
Services,"Adaptability, flexibility",1
Manufacturing,Standard and specialized credit and collection procedures,1
Manufacturing,Background check,4
Services,Payroll processing experience: ADP Workforce Now or equivalent platforms,1
Retail and Consumer Goods,Work holidays,1
Retail and Consumer Goods,Clear communication,1
Services,Ability to manage a high volume of workload,1
Services,Javascript,1
Miscellaneous,Understanding of funding sources and entitlement programs for people with disabilities,1
Technology,Problem-solving and analytical skills,1
Healthcare and Medical,1+ year Acute Care Experience,1
Retail and Consumer Goods,Java,1
Technology,Monitoring technologies,1
Services,"Knowledge: child development, early intervention practice, theory, family-centered service provision",1
Services,San Francisco Fair Chance Ordinance,1
Services,Help develop implementation plan,1
Services,Computer proficiency,1
Education and Training,Standing for long periods,1
Services,"Prioritization, multitasking, efficiency",1
Retail and Consumer Goods,Physical requirements,1
Miscellaneous,Experience with problem solving against multiple priorities,2
Retail and Consumer Goods,Highly organized,1
Real Estate and Construction,Cash management,1
