meta_industry,col,count
Technology,Application support,1
Technology,Front-end development basics (HTML),1
Technology,Health and welfare benefit strategy,1
Technology,7+ years of experience,2
Education and Training,Algorithm development,1
Education and Training,Research on dry-hopping and phytochemicals,1
Education and Training,Designing orthopedic biodevices via surface modification techniques,1
Manufacturing,Harvard Manage Mentor certification,1
Transportation and Logistics,"Create, Adopt, and Implement new process, strategy, policy, business rule, organizational culture",1
Services,CPR/AED,2
Services,Assistant Manager,1
Real Estate and Construction,10+ years experience,1
Technology,1+ year experience as Federal Project Operations Lead at Scale AI,1
Education and Training,Balances challenging academic workload,1
Education and Training,Talent Management,1
Services,TestNG,1
Services,SAFe® 4,1
Manufacturing,"Executive Director, Youth Community Sailing Non-Profit, 6+ Years",1
Retail and Consumer Goods,Illustration,1
Retail and Consumer Goods,Educating staff on benefit offerings,1
Technology,Night shift,1
Education and Training,New opportunities,1
Technology,"Kotlin (Data Classes, Smart Cast, Lambada Expressions, Range Expressions, Coroutines, Extension Functions, Null Safety, Companion Objects, Singletons, Operator Overloading)",1
Healthcare and Medical,Salesforce,2
Technology,Behavioral and neuropsychology research,1
Media and Entertainment,5+ years Agile Scrum Master experience,1
Education and Training,Staff Development,1
Services,Personal Clearances in the NISP,1
Services,"Sustainability, ESG, climate change, energy efficiency, water efficiency",1
Retail and Consumer Goods,Diverse industry expertise,1
Retail and Consumer Goods,Best practices,1
Technology,Continuous improvement,1
Technology,Public speaking,1
Technology,Health and life insurance sales,1
Healthcare and Medical,Engaging diverse teams,1
Healthcare and Medical,Project planning execution,1
Education and Training,The History of Photography,1
Education and Training,MATLAB,5
Education and Training,Detailed-oriented,1
Education and Training,Data visualization software,1
Education and Training,Fundraising Essentials,1
Education and Training,Researcher,6
Manufacturing,Customer Service Representative,1
Manufacturing,Multiple Awards in Customer Service,1
Healthcare and Medical,Employee development,1
Transportation and Logistics,"C-Suite Partnering, Executive Sponsorship",1
Services,Graduated May 2023,1
Real Estate and Construction,Retail,1
Technology,User experience research,1
Media and Entertainment,Maintain on-air quality and integrity,1
Government and Public Policy,17 years of experience,1
Government and Public Policy,Communications,2
Education and Training,Be proud of work,1
Services,"Leadership skills', ""Master's degree in cybersecurity and data forensics"", 'Supporting mission-critical cloud infrastructure development roles",1
Services,"Google Suite (Docs, Sheets, Slides, Drawings)",1
Manufacturing,Project Manager,4
Manufacturing,Cost Estimating,1
Manufacturing,Civil/ Environmental Engineering,1
Retail and Consumer Goods,Recruiting/hiring,1
Technology,"Server, Romano Mercato Inc.",1
Technology,20+ years of experience,5
Healthcare and Medical,Sales Manager,1
Education and Training,"Sports anchor, Centre County Report",1
Education and Training,Undated years of experience,1
Education and Training,Astroinformatics,1
Education and Training,"Operational Efficiencies Intern, Sheetz Corporate office, Claysburg, PA",1
Transportation and Logistics,Team leading,1
Healthcare and Medical,Exceptional interpersonal and problem-solving skills,1
Services,Inbound Marketing Optimization,1
Services,Teamwork,4
Manufacturing,Testing and validating software solutions,1
Retail and Consumer Goods,Risk management & Loss prevention,1
Technology,"Responsible for service delivery metrics, training, and performance for overseas teams",1
Technology,SDLC,2
Education and Training,Wavelets and Their Applications,1
Education and Training,"1 year experience in PowerShell, Bash, Kali Linux",1
Education and Training,Information Retrieval,1
Education and Training,B2 Certification,1
Education and Training,Educator / Social Scientist,1
Retail and Consumer Goods,"Training staff on sales, customer service, marketing strategies, and merchandising",1
Healthcare and Medical,Process Engineering,2
Services,First Aid CPR AED BBP,1
Transportation and Logistics,Impeccable integrity and accountability,1
Media and Entertainment,Developing cross-functional partnerships,1
Media and Entertainment,"Oversight of day-to-day operations, including budgets and cost efficiencies",1
Technology,Selenium,1
Education and Training,"Understands, tailors, and conveys information for organizational goals.",1
Retail and Consumer Goods,Multiple years of experience,1
Services,Introduction to R,2
Services,HIM,1
Manufacturing,Auto CAD,1
Technology,www.elliewrenl.com,1
Technology,Cornerstone,1
Education and Training,Exploring a minor in com sci (Rising junior),1
Education and Training,Two master’s degrees in public communication and media and higher education from the University of Denver,1
Education and Training,3.55/4.0,1
Education and Training,"Ph.D. student in Information Sciences and Technology (2+ years)', ""Bachelor's degree in Software Engineering (2021)"", 'Machine Learning",1
Manufacturing,Heating and air conditioning,1
Transportation and Logistics,Train Master,1
Transportation and Logistics,AHA BLS Train to Trainer Instructor,1
Transportation and Logistics,17 years experience,1
Transportation and Logistics,Organizational development leader,1
Healthcare and Medical,Prototyping,1
Education and Training,Flexibility,1
Manufacturing,Template matching,1
Manufacturing,Adobe Illustrator,1
Manufacturing,Led teams of over 60 personnel,1
Technology,Quality assurance,2
Technology,Style guides,1
Education and Training,Smeal business Supple Chain and information (Rising junior),1
Education and Training,Interested in building connections to help others,1
Education and Training,Residence Life Coordinator,1
Education and Training,Cemetery walker,1
Education and Training,Organic solutions,1
Education and Training,Developed and implemented an education project in Kenya to encourage active learning and conflict resolution,1
Education and Training,"Billing/follow-up/cash application teams, accounts receivable, charge master maintenance, regulatory implementation, billing changes, coding, CPT coding, contractual agreements/payment arrangements, benefit packages, rejections, denials, accounts receivable.",1
Education and Training,Financial representative at Northwestern Mutual.,1
Education and Training,Analytical Chemistry,1
Education and Training,Sport and Special Event Evacuation Training and Excercise - Department of Homeland Security,1
Education and Training,Neural Foundations of Handedness,1
Transportation and Logistics,Data Analytics certification,1
Transportation and Logistics,Team leadership,1
Healthcare and Medical,Certifications & Compliance,1
Media and Entertainment,Cashet,1
Education and Training,Social and Behavioral Research - Basic/Refresher,1
Education and Training,Adept at collaborating with cross-functional teams,1
Services,"Focused, proactive, dedicated, and insightful",1
Services,Microsoft Office Specialist PowerPoint 2013,1
Services,"Consulting Director, Guidehouse",1
Services,Program / Project Management,1
Retail and Consumer Goods,Firm founded in 1919,1
Technology,Eager to learn and take feedback,1
Education and Training,Best practices including CMMI,1
Education and Training,Lab assistant for New Paltz Digital Fabrication Lab,1
Education and Training,"Co-edited book, Designing Adaptive Organizations",1
Education and Training,Political Geography,1
Education and Training,"Senior Advisor, Department Head, & decorated US Air Force Lieutenant Colonel",1
Education and Training,Research Design,1
Manufacturing,Industrial construction codes,1
Retail and Consumer Goods,Retail assistant store manager,1
Transportation and Logistics,Premise liability,1
Transportation and Logistics,Excellent time management skills,1
Transportation and Logistics,Salesforce,1
Healthcare and Medical,Microsoft Office,6
Education and Training,Diabetes,1
Government and Public Policy,Creative Thinking,1
Education and Training,CompTIA A+ ce,1
Services,Jira,5
Services,Social and Behavioral Research Certification,1
Retail and Consumer Goods,10+ Years of Experience,1
Retail and Consumer Goods,Leading team members,1
Education and Training,Students in Research,1
Education and Training,Research program development,1
Education and Training,PAHs,1
Education and Training,President of 2 academic clubs,1
Retail and Consumer Goods,HR management,1
Healthcare and Medical,Professional proficiency in Portuguese,1
Services,Computer proficiency,1
Technology,Adobe XD,1
Education and Training,Mentoring,3
Government and Public Policy,Data Security,1
Education and Training,Oracle Database SQL Certified Associate,1
Services,Microsoft Office,8
Services,"Led Safety and Citizen Services portfolio, Civilian portfolio, and Federal Sales Lead",1
Services,Power Automate RPA Developer Associate,1
Services,Conscientious about addressing aspects of development and operations to minimize cost and maximize productivity,1
Manufacturing,Effective planning,1
Manufacturing,Maximo,1
Manufacturing,"Kentucky Transportation Cabinet, 10 Years",1
Manufacturing,"Comprehensive background in cross functional leadership, logistics, project management, executing operational budgets and strategic planning",1
Retail and Consumer Goods,"Strong knowledge of merchandising, pricing, and discounting",1
Services,8+ years of experience in testing multimedia encodings and media streaming,1
Education and Training,Disaster Response,1
Education and Training,Dedicated and always ready to learn,1
Education and Training,Social media marketer,1
Education and Training,Contextual Inquiry,1
Media and Entertainment,4+ years User Experience and User Interface design experience,1
Media and Entertainment,Oracle Discoverer,1
Education and Training,"ACEC, ASCE, and APWA award-winning projects",1
Education and Training,Multimedia presentations,1
Services,Analyze account discrepancies,1
Retail and Consumer Goods,Passion for student advocacy and higher education access,1
Services,Principles of Management,1
Services,FEMA,1
Services,Perform strategic market assessment,1
Manufacturing,LIF,1
Technology,People person,1
Education and Training,Digital Fluency,1
Education and Training,Bioinformatics lab management and supervision,1
Education and Training,"ArcGIS, ArcGIS Pro ",1
Education and Training,Customer Service,8
Education and Training,Mobile Applications,1
Services,Schedule Maintenance,1
Manufacturing,SSGI Lean Six Sigma Yellow Belt,1
Retail and Consumer Goods,"Assisting store management with personnel, loss prevention, and company policies",1
Transportation and Logistics,Advanced Health Promotion Programming & Evaluation,1
Transportation and Logistics,OpenAM 11,1
Services,Email Marketing Strategies,2
Services,1 year experience,1
